書	章	節	簡體	我們	他們	和合本	裁決
以斯帖記	1	5	御	禦	御	御	我們錯
以斯帖記	1	7	御	禦	御	御	我們錯
以斯帖記	1	13	干	干	幹	干	他們錯
以斯帖記	1	16	干	干	幹	干	他們錯
以斯帖記	1	21	干	干	幹	干	他們錯
以斯帖記	2	21	辟	辟	闢	辟	他們錯
以斯帖記	3	1	抬	擡	抬	抬	我們錯
以斯帖記	3	7	签	簽	籤	籤	我們錯
以斯帖記	4	13	托	托	託	託	我們錯
以斯帖記	5	11	抬	擡	抬	抬	我們錯
以斯帖記	6	2	辟	辟	闢	辟	他們錯
以斯帖記	6	8	御	禦	御	御	我們錯
以斯帖記	7	7	御	禦	御	御	我們錯
以斯帖記	7	8	出	出	齣	出	他們錯
以斯帖記	7	8	御	禦	御	御	我們錯
以斯帖記	8	10	御	禦	御	御	我們錯
以斯帖記	9	14	准	準	准	准	我們錯
以斯帖記	9	24	签	簽	籤	籤	我們錯
以斯帖記	10	2	抬	擡	抬	抬	我們錯
以斯拉記	2	13	干	干	幹	干	他們錯
以斯拉記	2	21	恒	恒	恆	恆	我們錯
以斯拉記	2	67	只	隻	只	隻	他們錯
以斯拉記	3	7	准	準	准	准	我們錯
以斯拉記	4	11	云	雲	云	云	我們錯
以斯拉記	4	14	御	禦	御	御	我們錯
以斯拉記	4	17	云	雲	云	云	我們錯
以斯拉記	5	13	准	準	准	准	我們錯
以斯拉記	5	17	准	準	准	准	我們錯
以斯拉記	6	20	并	並	併	並	他們錯
以斯拉記	7	6	准	準	准	准	我們錯
以斯拉記	7	10	志	誌	志	志	我們錯
以斯拉記	7	12	云	雲	云	云	我們錯
以斯拉記	8	13	干	干	幹	干	他們錯
以斯拉記	8	14	布	布	佈	布	他們錯
傳道書	3	6	舍	舍	捨	捨	我們錯
傳道書	4	2	叹	嘆	歎	歎	我們錯
傳道書	5	8	鉴	鑒	鑑	鑒	他們錯
傳道書	10	15	困	困	睏	困	他們錯
傳道書	12	5	吊	吊	弔	弔	我們錯
出埃及記	3	2	毁	毀	燬	毀	他們錯
出埃及記	4	8	迹	跡	蹟	蹟	我們錯
出埃及記	4	9	迹	跡	蹟	蹟	我們錯
出埃及記	4	17	迹	跡	蹟	蹟	我們錯
出埃及記	4	28	迹	跡	蹟	蹟	我們錯
出埃及記	4	30	迹	跡	蹟	蹟	我們錯
出埃及記	4	31	鉴	鑒	鑑	鑒	他們錯
出埃及記	5	12	秸	稭	秸	秸	我們錯
出埃及記	5	16	挨	挨	捱	挨	他們錯
出埃及記	5	21	鉴	鑒	鑑	鑒	他們錯
出埃及記	7	3	迹	跡	蹟	蹟	我們錯
出埃及記	8	3	灶	竈	灶	灶	我們錯
出埃及記	8	3	面	麵	麪	麵	他們錯
出埃及記	8	16	虱	虱	蝨	虱	他們錯
出埃及記	8	17	虱	虱	蝨	虱	他們錯
出埃及記	8	18	虱	虱	蝨	虱	他們錯
出埃及記	8	23	迹	跡	蹟	蹟	我們錯
出埃及記	9	29	出	出	齣	出	他們錯
出埃及記	10	1	迹	跡	蹟	蹟	我們錯
出埃及記	10	2	迹	跡	蹟	蹟	我們錯
出埃及記	10	6	占	占	佔	佔	我們錯
出埃及記	10	13	刮	刮	颳	颳	我們錯
出埃及記	10	19	刮	刮	颳	颳	我們錯
出埃及記	12	34	面	麵	面	麵	他們錯
出埃及記	12	34	面	麵	麪	麵	他們錯
出埃及記	12	38	闲	閑	閒	閒	我們錯
出埃及記	12	39	面	麵	面	麵	他們錯
出埃及記	12	45	雇	雇	僱	雇	他們錯
出埃及記	15	19	回	回	迴	回	他們錯
出埃及記	20	14	奸	奸	姦	姦	我們錯
出埃及記	20	25	具	具	俱	具	他們錯
出埃及記	20	25	家	家	傢	家	他們錯
出埃及記	22	7	具	具	俱	具	他們錯
出埃及記	22	7	家	家	傢	家	他們錯
出埃及記	22	15	雇	雇	僱	雇	他們錯
出埃及記	22	29	谷	穀	谷	穀	他們錯
出埃及記	23	1	布	布	佈	佈	我們錯
出埃及記	23	5	抬	擡	抬	抬	我們錯
出埃及記	25	4	朱	朱	硃	朱	他們錯
出埃及記	25	13	杠	杠	槓	槓	我們錯
出埃及記	25	14	抬	擡	抬	抬	我們錯
出埃及記	25	14	杠	杠	槓	槓	我們錯
出埃及記	25	15	杠	杠	槓	槓	我們錯
出埃及記	25	25	梁	梁	樑	樑	我們錯
出埃及記	25	27	抬	擡	抬	抬	我們錯
出埃及記	25	27	杠	杠	槓	槓	我們錯
出埃及記	25	27	梁	梁	樑	樑	我們錯
出埃及記	25	28	抬	擡	抬	抬	我們錯
出埃及記	25	28	杠	杠	槓	槓	我們錯
出埃及記	26	1	捻	撚	捻	撚	他們錯
出埃及記	26	1	朱	朱	硃	朱	他們錯
出埃及記	26	4	扣	扣	釦	扣	他們錯
出埃及記	26	5	扣	扣	釦	扣	他們錯
出埃及記	26	10	扣	扣	釦	扣	他們錯
出埃及記	26	11	扣	扣	釦	扣	他們錯
出埃及記	26	31	捻	撚	捻	撚	他們錯
出埃及記	26	31	朱	朱	硃	朱	他們錯
出埃及記	26	33	抬	擡	抬	抬	我們錯
出埃及記	26	36	捻	撚	捻	撚	他們錯
出埃及記	26	36	朱	朱	硃	朱	他們錯
出埃及記	27	6	杠	杠	槓	槓	我們錯
出埃及記	27	7	抬	擡	抬	抬	我們錯
出埃及記	27	7	杠	杠	槓	槓	我們錯
出埃及記	27	9	捻	撚	捻	撚	他們錯
出埃及記	27	10	杆	桿	杆	杆	我們錯
出埃及記	27	11	杆	桿	杆	杆	我們錯
出埃及記	27	16	捻	撚	捻	撚	他們錯
出埃及記	27	16	朱	朱	硃	朱	他們錯
出埃及記	27	17	杆	桿	杆	杆	我們錯
出埃及記	27	18	捻	撚	捻	撚	他們錯
出埃及記	28	5	朱	朱	硃	朱	他們錯
出埃及記	28	6	捻	撚	捻	撚	他們錯
出埃及記	28	6	朱	朱	硃	朱	他們錯
出埃及記	28	8	捻	撚	捻	撚	他們錯
出埃及記	28	8	朱	朱	硃	朱	他們錯
出埃及記	28	15	捻	撚	捻	撚	他們錯
出埃及記	28	15	朱	朱	硃	朱	他們錯
出埃及記	28	24	链	鏈	鍊	鍊	我們錯
出埃及記	28	28	系	系	繫	繫	我們錯
出埃及記	28	33	朱	朱	硃	朱	他們錯
出埃及記	29	2	面	麵	面	麵	他們錯
出埃及記	29	13	脏	臟	髒	臟	他們錯
出埃及記	29	22	脏	臟	髒	臟	他們錯
