書	章	節	我們	和合本	裁決	上下文
創世記	2	21	沉	沉	對	雅偉神使他沉睡，他就
創世記	4	7	制	制	對	慕你，你卻要制伏它。
創世記	15	12	沉	沉	對	時候，亞伯蘭沉沉地睡了
創世記	15	12	沉	沉	對	候，亞伯蘭沉沉地睡了；
創世記	23	20	藉	藉	對	和田間的洞就藉着赫人定
創世記	31	1	藉	藉	對	都奪了去，並藉着我們父
創世記	32	20	藉	藉	對	心裏説：「我藉着在我前
創世記	44	5	卜	卜	對	？豈不是他占卜用的嗎？
創世記	44	15	卜	卜	對	樣的人必能占卜嗎？」
出埃及記	1	11	制	制	對	人派督工的轄制他們，加
出埃及記	3	7	制	制	對	因受督工的轄制所發的哀
出埃及記	9	35	藉	藉	對	去，正如雅偉藉着摩西所
出埃及記	15	4	沉	沉	對	特選的軍長都沉於紅海。
出埃及記	15	10	沉	沉	對	沒；他們如鉛沉在大水之
出埃及記	17	12	沉	沉	對	但摩西的手發沉，他們就
出埃及記	22	14	借	借	對	「人若向鄰舍借什麼，所
出埃及記	22	14	借	借	對	舍借什麼，所借的或受傷
出埃及記	22	14	借	借	對	有同在一處，借的人總要
出埃及記	22	25	借	借	對	你同住，你若借錢給他，
出埃及記	25	9	製	製	對	製造帳幕和
出埃及記	25	29	製	製	對	這都要用精金製作。
出埃及記	26	1	製	製	對	色、朱紅色線製造，並用
出埃及記	31	4	製	製	對	用金、銀、銅製造各物，
出埃及記	35	29	借	藉	錯	拿來，做雅偉借摩西所吩
出埃及記	35	32	製	製	對	用金、銀、銅製造各物，
出埃及記	36	8	製	製	對	紫色朱紅色線製造的，並
利未記	8	36	藉	藉	對	兒子行了雅偉藉着摩西所
利未記	10	11	借	藉	錯	們可以將雅偉借摩西曉諭
利未記	16	21	藉	藉	對	在羊的頭上，藉着所派之
利未記	25	37	借	借	對	你借錢給他，
利未記	25	37	借	借	對	可向他取利；借糧給他，
利未記	26	16	制	制	對	的癆病熱病轄制你們。你
利未記	26	46	藉	藉	對	列人在西乃山藉着摩西立
民數記	4	37	借	藉	錯	、亞倫照雅偉借摩西所吩
民數記	4	41	借	藉	錯	、亞倫照雅偉借摩西所吩
民數記	4	45	借	藉	錯	、亞倫照雅偉借摩西所吩
民數記	8	4	製	製	對	出來的。摩西製造燈臺，
民數記	10	13	借	藉	錯	是他們照雅偉借摩西所吩
民數記	15	23	借	藉	錯	就是雅偉借摩西一切
民數記	16	40	藉	藉	對	這乃是照雅偉藉着摩西所
民數記	21	8	製	製	對	摩西説：「你製造一條火
民數記	21	9	製	製	對	摩西便製造一條銅
民數記	23	23	卜	卜	對	各，也沒有占卜可以害以
民數記	24	6	沉	沉	對	如雅偉所栽的沉香樹，如
民數記	24	20	沉	沉	對	首，但它終必沉淪。」
民數記	24	24	沉	沉	對	伯；他也必至沉淪。」
民數記	27	23	借	藉	錯	他，是照雅偉借摩西所説
民數記	32	22	制	制	對	那地被雅偉制伏了，然
民數記	32	29	制	制	對	，那地被你們制伏了，你
民數記	36	13	藉	藉	對	耶利哥對面，藉着摩西所
申命記	1	3	藉	藉	對	，摩西照雅偉藉着他所吩
申命記	9	3	制	制	對	他們，將他們制伏在你面
申命記	15	2	借	借	對	凡債主要把所借給鄰舍的
申命記	15	3	借	借	對	若借給外邦人
申命記	15	3	借	借	對	向他追討；但借給你弟兄
申命記	15	6	借	借	對	福與你。你必借給許多國
申命記	15	6	借	借	對	卻不至向他們借貸；你必
申命記	15	8	借	借	對	照他所缺乏的借給他，補
申命記	18	10	卜	卜	對	，也不可有占卜的、觀兆
申命記	18	14	卜	卜	對	信觀兆的和占卜的，至於
申命記	23	19	借	借	對	「你借給你弟兄
申命記	23	20	借	借	對	借給外邦人
申命記	23	20	借	借	對	以取利，只是借給你弟兄
申命記	24	10	借	借	對	「你借給鄰舍，
申命記	24	11	借	借	對	面，等那向你借貸的人把
申命記	27	15	製	製	對	「『有人製造雅偉所
申命記	28	12	借	借	對	福與你。你必借給許多國
申命記	28	12	借	借	對	卻不至向他們借貸。
申命記	28	33	制	制	對	被欺負，受壓制，
申命記	28	44	借	借	對	他必借給你，你
申命記	28	44	借	借	對	你，你卻不能借給他；他
申命記	32	6	製	製	對	來的嗎？他是製造你、建
約書亞記	5	2	製	製	對	書亞説：「你製造火石刀
約書亞記	5	3	製	製	對	約書亞就製造了火石
約書亞記	14	2	借	藉	錯	是照雅偉借摩西所吩
約書亞記	18	1	制	制	對	地已經被他們制伏了。
約書亞記	20	2	借	藉	錯	你們要照着我借摩西所曉
約書亞記	21	2	藉	藉	對	：「從前雅偉藉着摩西吩
約書亞記	21	8	借	藉	錯	列人照着雅偉借摩西所吩
約書亞記	22	9	借	藉	錯	，就是照雅偉借摩西所吩
士師記	2	22	藉	藉	對	為要藉此試驗以
士師記	3	4	借	藉	錯	們肯聽從雅偉借摩西吩咐
士師記	3	30	制	制	對	就被以色列人制伏了。國
士師記	4	21	沉	沉	對	西西拉疲乏沉睡。希百
士師記	4	23	制	制	對	賓被以色列人制伏了。
士師記	6	2	制	制	對	米甸人壓制以色列人
士師記	6	36	借	藉	錯	着所説的話，借我手拯救
士師記	6	37	借	藉	錯	着所説的話，借我手拯救
士師記	8	27	製	製	對	基甸以此製造了一個
士師記	8	28	制	制	對	人被以色列人制伏了，不
士師記	11	33	制	制	對	就被以色列人制伏了。
士師記	14	4	制	制	對	，非利士人轄制以色列人
士師記	15	11	制	制	對	「非利士人轄制我們，你
士師記	15	18	借	藉	錯	偉説：「你既借僕人的手
士師記	15	20	制	制	對	當非利士人轄制以色列人
士師記	16	5	制	制	對	勝他，捆綁剋制他。我們
